club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,url
105,sv-darmstadt-98,SV Darmstadt 98,L1,,30,26.4,11,36.7,1,Merck-Stadion am Böllenfalltor,17500,€-1.60m,,2023,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
12,as-rom,AS Roma,IT1,,26,27.3,17,65.4,17,Olimpico di Roma,73261,+€65.20m,,2023,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
148,tottenham-hotspur,Tottenham Hotspur,GB1,,29,26.1,21,72.4,22,Tottenham Hotspur Stadium,62062,€-130.40m,,2023,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148
192,roda-jc-kerkrade,Roda JC Kerkrade,NL1,,25,24.0,9,36.0,0,Parkstad Limburg Stadion,19979,+€1.30m,,2017,https://www.transfermarkt.co.uk/roda-jc-kerkrade/startseite/verein/192
2457,belenenses-sad,B SAD,PO1,,25,24.2,13,52.0,4,Estádio Nacional do Jamor,37593,+€1.80m,,2021,https://www.transfermarkt.co.uk/belenenses-sad/startseite/verein/2457
2990,academica-coimbra,Académica Coimbra,PO1,,26,25.2,6,23.1,0,Estádio Cidade de Coimbra,29744,+€150k,,2015,https://www.transfermarkt.co.uk/academica-coimbra/startseite/verein/2990
4795,fc-ingolstadt-04,FC Ingolstadt 04,L1,,28,24.3,8,28.6,1,Audi Sportpark,15800,+€1.55m,,2016,https://www.transfermarkt.co.uk/fc-ingolstadt-04/startseite/verein/4795
5358,sd-huesca,SD Huesca,ES1,,24,27.5,8,33.3,2,El Alcoraz,9128,+€1.43m,,2020,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
603,cardiff-city,Cardiff City,GB1,,28,25.5,24,85.7,8,Cardiff City Stadium,33280,€-655k,,2018,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
8024,fc-arouca,FC Arouca,PO1,,28,25.9,21,75.0,1,Estádio Municipal de Arouca,5600,+€5.24m,,2023,https://www.transfermarkt.co.uk/fc-arouca/startseite/verein/8024
969,montpellier-hsc,Montpellier HSC,FR1,,23,25.7,12,52.2,6,Stade de la Mosson,32939,+€31.80m,,2023,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
989,afc-bournemouth,AFC Bournemouth,GB1,,29,26.4,20,69.0,14,Vitality Stadium,11329,€-126.19m,,2023,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
993,fc-cordoba,Córdoba CF,ES1,,24,27.9,4,16.7,0,Nuevo Arcángel,21822,+-0,,2014,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
1025,fc-bologna,Bologna FC 1909,IT1,,26,25.2,18,69.2,13,Stadio Renato Dall’Ara,36462,€-18.50m,,2023,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
1082,losc-lille,LOSC Lille,FR1,,24,26.0,17,70.8,6,Decathlon Arena-Stade Pierre-Mauroy,50186,+€6.10m,,2023,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
1160,nimes-olympique,Nîmes Olympique,FR1,,26,25.4,12,46.2,3,Stade des Antonins,8033,+€2.50m,,2020,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
1465,gd-estoril-praia,GD Estoril Praia,PO1,,29,24.8,17,58.6,2,Estádio António Coimbra da Mota,8000,+€8.00m,,2023,https://www.transfermarkt.co.uk/gd-estoril-praia/startseite/verein/1465
3008,hull-city,Hull City,GB1,,28,25.0,17,60.7,6,MKM Stadium,25586,+€7.50m,,2016,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
31,fc-liverpool,Liverpool FC,GB1,,26,26.1,21,80.8,17,Anfield,54074,€-111.30m,,2023,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31
336,sporting-lissabon,Sporting CP,PO1,,27,25.0,13,48.1,8,Estádio José Alvalade XXI,50095,+€69.50m,,2023,https://www.transfermarkt.co.uk/sporting-lissabon/startseite/verein/336
3911,stade-brest-29,Stade Brestois 29,FR1,,25,26.0,7,28.0,4,Stade Francis-Le Blé,15220,+€5.10m,,2023,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
4,1-fc-nurnberg,1.FC Nuremberg,L1,,33,25.2,7,21.2,2,Max-Morlock-Stadion,50000,+€2.63m,,2018,https://www.transfermarkt.co.uk/1-fc-nurnberg/startseite/verein/4
410,udinese-calcio,Udinese Calcio,IT1,,36,25.0,31,86.1,8,Bluenergy Stadium,25144,+€5.56m,,2023,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
595,sc-bastia,SC Bastia,FR1,,25,27.6,8,32.0,6,Stade Armand-Cesari,16480,+€480k,,2016,https://www.transfermarkt.co.uk/sc-bastia/startseite/verein/595
1010,fc-watford,Watford FC,GB1,,30,26.3,24,80.0,12,Vicarage Road,21577,+€42.02m,,2021,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010
1108,deportivo-alaves,Deportivo Alavés,ES1,,23,25.7,9,39.1,3,Mendizorroza,19840,€-6.30m,,2023,https://www.transfermarkt.co.uk/deportivo-alaves/startseite/verein/1108
1158,fc-lorient,FC Lorient,FR1,,30,25.1,14,46.7,10,Stade du Moustoir,19010,+€37.70m,,2023,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
